name,team,playerImageUrl,battingStyle,bowlingStyle,playingRole
Zane Green †,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350307.1.png",Left hand Bat,N/A,Wicketkeeper Batter
Ruben Trumpelmann,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348607.1.png",Right hand Bat,Left arm Fast,Bowler
Bernard Scholtz,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329759.1.png",Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329760.1.png",Right hand Bat,Right arm Medium fast,Bowler
Junaid Siddique,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/354900/354960.1.png",Right hand Bat,Right arm Medium fast,Bowler
Zahoor Khan,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320104.1.png",Right hand Bat,Right arm Medium fast,Bowler
Ahmed Raza,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320000/320094.1.png",Right hand Bat,Slow Left arm Orthodox,Bowler
Karthik Meiyappan,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/351500/351563.1.png",Right hand Bat,Legbreak,Bowler
Aayan Afzal Khan,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/354900/354956.1.png",Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Timm van der Gugten,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322642.1.png",Right hand Bat,Right arm Fast medium,Bowler
Shamarh Brooks,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322048.1.png",Right hand Bat,Legbreak,Top order Batter
Regis Chakabva (c)†,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316627.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Dushmantha Chameera,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319862.2.png",Right hand Bat,Right arm Fast,Bowler
Chirag Suri,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386700/386745.5.png",Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
