match,bowlingTeam,bowlerName,bowlerNameUrl,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb
Pakistan Vs South Africa,Pakistan,Anrich Nortje,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,4,0,41,4,10.25,11,1,4,0,1
Pakistan Vs South Africa,Pakistan,Tabraiz Shamsi,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,4,0,36,1,9.00,8,2,2,2,0
Pakistan Vs South Africa,South Africa,Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,3,0,14,3,4.66,11,2,0,0,0
Pakistan Vs South Africa,South Africa,Naseem Shah,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,3,0,19,1,6.33,10,1,1,1,0
Pakistan Vs South Africa,South Africa,Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,3,0,44,1,14.66,2,7,1,1,0
Pakistan Vs South Africa,South Africa,Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,2,0,13,1,6.50,3,1,0,0,0
Pakistan Vs South Africa,South Africa,Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,2,0,16,2,8.00,5,1,1,0,0
Pakistan Vs South Africa,South Africa,Mohammad Nawaz,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,1,0,2,0,2.00,4,0,0,0,0
Bangladesh Vs India,Bangladesh,Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,4,0,15,0,3.75,16,2,0,0,0
Bangladesh Vs India,Bangladesh,Shoriful Islam,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,4,0,57,0,14.25,7,4,4,2,2
Bangladesh Vs India,Bangladesh,Hasan Mahmud,https://www.espncricinfo.com/cricketers/hasan-mahmud-926629,4,0,47,3,11.75,7,6,2,0,1
Bangladesh Vs India,Bangladesh,Mustafizur Rahman,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,4,0,31,0,7.75,9,4,0,0,0
Bangladesh Vs India,Bangladesh,Shakib Al Hasan,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,4,0,33,2,8.25,3,2,0,0,0
Bangladesh Vs India,India,Bhuvneshwar Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,3,0,27,0,9.00,7,2,2,0,0
Bangladesh Vs India,India,Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,4,0,38,2,9.50,10,5,1,0,0
Bangladesh Vs India,India,Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,3,0,25,1,8.33,7,2,1,0,0
Bangladesh Vs India,India,Axar Patel,https://www.espncricinfo.com/cricketers/axar-patel-554691,1,0,6,0,6.00,2,0,0,0,0
Bangladesh Vs India,India,Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,2,0,19,0,9.50,4,3,0,1,0
Bangladesh Vs India,India,Hardik Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,3,0,28,2,9.33,8,1,3,0,0
Netherlands Vs Zimbabwe,Netherlands,Fred Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,4,0,17,1,4.25,17,0,1,2,0
Netherlands Vs Zimbabwe,Netherlands,Paul van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,4,0,29,3,7.25,13,3,0,2,0
Netherlands Vs Zimbabwe,Netherlands,Brandon Glover,https://www.espncricinfo.com/cricketers/brandon-glover-595419,4,1,29,2,7.25,15,2,2,2,0
Netherlands Vs Zimbabwe,Netherlands,Logan van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,2.2,0,17,2,7.28,8,1,1,1,0
Netherlands Vs Zimbabwe,Netherlands,Bas de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,4,0,14,2,3.50,11,0,0,0,0
Netherlands Vs Zimbabwe,Netherlands,Roelof van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,1,0,8,0,8.00,2,1,0,0,0
Netherlands Vs Zimbabwe,Zimbabwe,Tendai Chatara,https://www.espncricinfo.com/cricketers/tendai-chatara-425639,4,0,22,0,5.50,14,4,0,0,0
Netherlands Vs Zimbabwe,Zimbabwe,Richard Ngarava,https://www.espncricinfo.com/cricketers/richard-ngarava-806241,4,0,18,2,4.50,15,1,1,0,0
Netherlands Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,4,0,23,2,5.75,14,2,1,1,0
Netherlands Vs Zimbabwe,Zimbabwe,Sean Williams,https://www.espncricinfo.com/cricketers/sean-williams-55870,3,0,21,0,7.00,8,2,1,0,0
Netherlands Vs Zimbabwe,Zimbabwe,Sikandar Raza,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,1,0,6,0,6.00,0,0,0,0,0
Netherlands Vs Zimbabwe,Zimbabwe,Luke Jongwe,https://www.espncricinfo.com/cricketers/luke-jongwe-541224,2,0,25,1,12.50,3,4,0,3,1
England Vs New Zealand,England,Trent Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,4,0,40,0,10.00,8,4,1,1,0
England Vs New Zealand,England,Tim Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,4,0,43,1,10.75,9,3,3,0,0
England Vs New Zealand,England,Mitchell Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,4,0,25,1,6.25,8,2,0,0,0
England Vs New Zealand,England,Lockie Ferguson,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,4,0,45,2,11.25,6,4,2,0,1
England Vs New Zealand,England,Ish Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,4,0,23,1,5.75,10,2,0,0,0
England Vs New Zealand,New Zealand,Moeen Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,1,0,4,0,4.00,3,0,0,0,0
England Vs New Zealand,New Zealand,Chris Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,4,0,33,2,8.25,9,1,2,1,0
England Vs New Zealand,New Zealand,Adil Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,4,0,33,0,8.25,6,0,2,0,0
